ISO3,Country / Territory,Year,Event Name,Date of Event (start),Disaster Internal Displacements,Disaster Internal Displacements (Raw),Hazard Category,Hazard Type,Hazard Sub Type,Name,Conflict Stock Displacement,Conflict Stock Displacement (Raw),Conflict Internal Displacements,Conflict Internal Displacements (Raw)
TLS,Timor-Leste,2013,Babulu gale,2013-01-17,5.0,5.0,Weather related,Storm,Conflict-Violence,,,,,
TZA,Tanzania,2014,Arusha flood,2014-03-15,1000.0,1000.0,Weather related,Flood,Conflict-Violence,,,,,
COL,Colombia,2015,Gameza flood,2015-06-25,4.0,4.0,Weather related,Flood,Conflict-Violence,,,,,
CUB,Cuba,2015,Baracoa flood,2015-05-02,2000.0,2000.0,Weather related,Flood,Conflict-Violence,,,,,
BGD,Bangladesh,2008,Bangladesh: Flood - 01/07/2008,2008-07-01,2200.0,2250.0,Weather related,Flood,Conflict-Violence,,,,,
BGD,Bangladesh,2008,Bangladesh: Flood - 30/08/2008,2008-08-30,57000.0,57440.0,Weather related,Flood,Conflict-Violence,,,,,
GTM,Guatemala,2008,Guatemala: Flood - 22/10/2008,2008-10-22,11000.0,10764.0,Weather related,Flood,Conflict-Violence,,,,,
HND,Honduras,2008,Honduras: Flood - 12/12/2008,2008-12-12,250.0,250.0,Weather related,Flood,Conflict-Violence,,,,,
HND,Honduras,2008,Honduras: Flood - 19/10/2008,2008-10-19,70000.0,70000.0,Weather related,Flood,Conflict-Violence,,,,,
HTI,Haiti,2008,Haiti: Storm - 09/02/2008,2008-02-09,20.0,20.0,Weather related,Storm,Conflict-Violence,,,,,
HTI,Haiti,2008,Haiti: Storm - 26/08/2008,2008-08-26,10000.0,10500.0,Weather related,Storm,Conflict-Violence,,,,,
HTI,Haiti,2008,Haiti: Storm - 18/08/2008,2008-08-18,17000.0,16850.0,Weather related,Storm,Conflict-Violence,,,,,
AFG,Afghanistan,2008,Afghanistan: Flood - 01/08/2008,2008-08-01,180.0,180.0,Weather related,Flood,Conflict-Violence,,,,,
AFG,Afghanistan,2008,Afghanistan: Earthquake - 17/04/2008,2008-04-17,3200.0,3250.0,Geophysical,Earthquake,Conflict-Violence,,,,,
ARG,Argentina,2008,Argentina: Flood - 28/01/2008,2008-01-28,640.0,635.0,Weather related,Flood,Conflict-Violence,,,,,
ATG,Antigua and Barbuda,2008,Antigua and Barbuda: Storm - 15/10/2008,2008-10-15,45.0,45.0,Weather related,Storm,Conflict-Violence,,,,,
AUS,Australia,2008,Australia: Storm - 16/11/2008,2008-11-16,1000.0,1000.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2008,Burundi: Flood - 20/09/2008,2008-09-20,2800.0,2770.0,Weather related,Flood,Conflict-Violence,,,,,
BEN,Benin,2008,Benin: Flood - 01/07/2008,2008-07-01,150000.0,150000.0,Weather related,Flood,Conflict-Violence,,,,,
BFA,Burkina Faso,2008,Burkina Faso: Flood - 01/08/2008,2008-08-01,28000.0,28000.0,Weather related,Flood,Conflict-Violence,,,,,
BGD,Bangladesh,2008,Bangladesh: Landslide/Wet mass movement - 16/08/2008,2008-08-16,1700.0,1657.0,Weather related,Mass Movement,Conflict-Violence,,,,,
BHS,"Bahamas, The",2008,Bahamas: Storm - 09/07/2008,2008-07-09,500.0,500.0,Weather related,Storm,Conflict-Violence,,,,,
BLZ,Belize,2008,Belize: Flood - 19/10/2008,2008-10-19,400.0,400.0,Weather related,Flood,Conflict-Violence,,,,,
BRA,Brazil,2008,Brazil: Flood - 02/02/2008,2008-02-02,1400.0,1435.0,Weather related,Flood,Conflict-Violence,,,,,
BRA,Brazil,2008,Brazil: Flood - 01/12/2008,2008-12-01,14000.0,14293.0,Weather related,Flood,Conflict-Violence,,,,,
BRA,Brazil,2008,Brazil: Storm - 05/06/2008,2008-06-05,25000.0,25000.0,Weather related,Storm,Conflict-Violence,,,,,
BRA,Brazil,2008,Brazil: Flood - 22/11/2008,2008-11-22,79000.0,78707.0,Weather related,Flood,Conflict-Violence,,,,,
BRA,Brazil,2008,Brazil: Flood - 30/03/2008,2008-03-30,190000.0,190000.0,Weather related,Flood,Conflict-Violence,,,,,
CAF,Central African Republic,2008,Central African Republic: Flood - 01/07/2008,2008-07-01,14000.0,14000.0,Weather related,Flood,Conflict-Violence,,,,,
CAN,Canada,2008,Canada: Flood - 04/10/2008,2008-10-04,200.0,200.0,Weather related,Flood,Conflict-Violence,,,,,
CAN,Canada,2008,Canada: Flood - 26/04/2008,2008-04-26,1800.0,1830.0,Weather related,Flood,Conflict-Violence,,,,,
CHL,Chile,2008,Chile: Volcanic activity - 05/02/2008,2008-02-05,8000.0,8000.0,Geophysical,Volcanic activity,Conflict-Violence,,,,,
CHL,Chile,2008,Chile: Flood - 19/05/2008,2008-05-19,12000.0,12000.0,Weather related,Flood,Conflict-Violence,,,,,
CHL,Chile,2008,Chile: Flood - 29/08/2008,2008-08-29,23000.0,23000.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2008,China: Storm - 22/08/2008,2008-08-22,390.0,394.0,Weather related,Storm,Conflict-Violence,,,,,
CHN,China,2008,China: Storm - 08/08/2008,2008-08-08,500.0,500.0,Weather related,Storm,Conflict-Violence,,,,,
CHN,China,2008,China: Earthquake - 10/06/2008,2008-06-10,860.0,855.0,Geophysical,Earthquake,Conflict-Violence,,,,,
CHN,China,2008,China: Flood - 05/02/2008,2008-02-05,1900.0,1900.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2008,China: Flood - 27/05/2008,2008-05-27,4600.0,4600.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2008,China: Storm - 24/06/2008,2008-06-24,6000.0,6000.0,Weather related,Storm,Conflict-Violence,,,,,
CHN,China,2008,China: Earthquake - 08/05/2008,2008-05-08,16000.0,16000.0,Geophysical,Earthquake,Conflict-Violence,,,,,
CHN,China,2008,China: Flood - 31/10/2008,2008-10-31,25000.0,25000.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2008,China: Flood - 07/07/2008,2008-07-07,31000.0,31000.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2008,China: Flood - 08/07/2008,2008-07-08,42000.0,42100.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2008,China: Storm - 19/04/2008,2008-04-19,120000.0,120000.0,Weather related,Storm,Conflict-Violence,,,,,
CHN,China,2008,China: Storm - 28/07/2008,2008-07-28,274000.0,274300.0,Weather related,Storm,Conflict-Violence,,,,,
CHN,China,2008,China: Earthquake - 30/08/2008,2008-08-30,650000.0,650000.0,Geophysical,Earthquake,Conflict-Violence,,,,,
CHN,China,2008,China: Cold wave - 01/10/2008,2008-10-01,827000.0,827000.0,Weather related,Extreme Temperature,Conflict-Violence,,,,,
CHN,China,2008,China: Flood - 06/07/2008,2008-07-06,1660000.0,1660000.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2008,China: Earthquake - 05/12/2008,2008-12-05,15000000.0,15000000.0,Geophysical,Earthquake,Conflict-Violence,,,,,
CMR,Cameroon,2008,Cameroon: Flood - 01/07/2008,2008-07-01,1000.0,1000.0,Weather related,Flood,Conflict-Violence,,,,,
COD,"Congo, Dem. Rep.",2008,Dem. Rep. Congo: Flood - 04/02/2008,2008-02-04,500.0,500.0,Weather related,Flood,Conflict-Violence,,,,,
COD,"Congo, Dem. Rep.",2008,Dem. Rep. Congo: Earthquake - 02/03/2008,2008-03-02,4600.0,4575.0,Geophysical,Earthquake,Conflict-Violence,,,,,
COL,Colombia,2008,Colombia: Volcanic activity - 17/01/2008,2008-01-17,8000.0,8000.0,Geophysical,Volcanic activity,Conflict-Violence,,,,,
COL,Colombia,2008,Colombia: Flood - 15/09/2008,2008-09-15,10000.0,10100.0,Weather related,Flood,Conflict-Violence,,,,,
COL,Colombia,2008,Colombia: Volcanic activity - 20/11/2008,2008-11-20,12000.0,12000.0,Geophysical,Volcanic activity,Conflict-Violence,,,,,
COL,Colombia,2008,Colombia: Volcanic activity - 14/04/2008,2008-04-14,13000.0,13000.0,Geophysical,Volcanic activity,Conflict-Violence,,,,,
COL,Colombia,2008,Colombia: Flood - 13/12/2008,2008-12-13,20000.0,20000.0,Weather related,Flood,Conflict-Violence,,,,,
CRI,Costa Rica,2008,Costa Rica: Flood - 22/11/2008,2008-11-22,600.0,600.0,Weather related,Flood,Conflict-Violence,,,,,
CRI,Costa Rica,2008,Costa Rica: Flood - 09/02/2008,2008-02-09,2100.0,2140.0,Weather related,Flood,Conflict-Violence,,,,,
CRI,Costa Rica,2008,Costa Rica: Flood - 13/10/2008,2008-10-13,2500.0,2529.0,Weather related,Flood,Conflict-Violence,,,,,
CRI,Costa Rica,2008,Costa Rica: Flood - 26/11/2008,2008-11-26,6900.0,6890.0,Weather related,Flood,Conflict-Violence,,,,,
CUB,Cuba,2008,Cuba: Storm - 20/08/2008,2008-08-20,13000.0,13000.0,Weather related,Storm,Conflict-Violence,,,,,
CUB,Cuba,2008,Cuba: Storm - 11/08/2008,2008-08-11,20000.0,20000.0,Weather related,Storm,Conflict-Violence,,,,,
CUB,Cuba,2008,Cuba: Flood - 17/11/2008,2008-11-17,20000.0,20000.0,Weather related,Flood,Conflict-Violence,,,,,
CUB,Cuba,2008,Cuba: Storm - 29/08/2008,2008-08-29,61000.0,61000.0,Weather related,Storm,Conflict-Violence,,,,,
CUB,Cuba,2008,Hurricane ike,2008-08-09,2616000.0,2616000.0,Weather related,Storm,Conflict-Violence,,,,,
CYM,Cayman Islands,2008,Cayman Islands: Storm - 26/08/2008,2008-08-26,720.0,715.0,Weather related,Storm,Conflict-Violence,,,,,
DOM,Dominican Republic,2008,Dominican Republic: Storm - 26/08/2008,2008-08-26,4400.0,4360.0,Weather related,Storm,Conflict-Violence,,,,,
DOM,Dominican Republic,2008,Dominican Republic: Storm - 18/08/2008,2008-08-18,4600.0,4565.0,Weather related,Storm,Conflict-Violence,,,,,
DZA,Algeria,2008,Algeria: Flood - 31/01/2008,2008-01-31,25000.0,25000.0,Weather related,Flood,Conflict-Violence,,,,,
ECU,Ecuador,2008,Ecuador: Flood - 30/01/2008,2008-01-30,14000.0,13871.0,Weather related,Flood,Conflict-Violence,,,,,
EGY,"Egypt, Arab Rep.",2008,Egypt: Dry mass movement - 09/06/2008,2008-06-09,20000.0,20000.0,Geophysical,Mass Movement,Conflict-Violence,,,,,
ETH,Ethiopia,2008,Ethiopia: Flood - 30/05/2008,2008-05-30,810.0,810.0,Weather related,Flood,Conflict-Violence,,,,,
ETH,Ethiopia,2008,Ethiopia: Flood - 20/08/2008,2008-08-20,20000.0,20000.0,Weather related,Flood,Conflict-Violence,,,,,
ETH,Ethiopia,2008,Ethiopia: Flood - 16/11/2008,2008-11-16,52000.0,52000.0,Weather related,Flood,Conflict-Violence,,,,,
FIN,Finland,2008,Finland: Storm - 28/01/2008,2008-01-28,20.0,20.0,Weather related,Storm,Conflict-Violence,,,,,
FRA,France,2008,France: Storm - 08/03/2008,2008-03-08,870.0,870.0,Weather related,Storm,Conflict-Violence,,,,,
GHA,Ghana,2008,Ghana: Flood - 01/07/2008,2008-07-01,14000.0,14292.0,Weather related,Flood,Conflict-Violence,,,,,
GMB,"Gambia, The",2008,Gambia: Flood - 01/09/2008,2008-09-01,400.0,400.0,Weather related,Flood,Conflict-Violence,,,,,
GNB,Guinea-Bissau,2008,Guinea-Bissau: Flood - 01/07/2008,2008-07-01,750.0,750.0,Weather related,Flood,Conflict-Violence,,,,,
GTM,Guatemala,2008,Guatemala: Cold wave - 12/01/2008,2008-01-12,2200.0,2241.0,Weather related,Extreme Temperature,Conflict-Violence,,,,,
GTM,Guatemala,2008,Guatemala: Storm - 21/07/2008,2008-07-21,5000.0,5000.0,Weather related,Storm,Conflict-Violence,,,,,
HTI,Haiti,2008,Haiti: Storm - 09/06/2008,2008-06-09,111000.0,111391.0,Weather related,Storm,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Earthquake - 01/02/2008,2008-02-01,500.0,500.0,Geophysical,Earthquake,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Earthquake - 09/09/2008,2008-09-09,820.0,820.0,Geophysical,Earthquake,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Earthquake - 07/08/2008,2008-08-07,2000.0,2000.0,Geophysical,Earthquake,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Flood - 11/11/2008,2008-11-11,2400.0,2400.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Earthquake - 20/02/2008,2008-02-20,3300.0,3315.0,Geophysical,Earthquake,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Flood - 02/11/2008,2008-11-02,3500.0,3500.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Volcanic activity - 15/04/2008,2008-04-15,5000.0,5000.0,Geophysical,Volcanic activity,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Flood - 03/10/2008,2008-10-03,5100.0,5060.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Earthquake - 17/11/2008,2008-11-17,10000.0,10000.0,Geophysical,Earthquake,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Landslide/Wet mass movement - 01/05/2008,2008-05-01,16000.0,16000.0,Weather related,Mass Movement,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Flood - 09/06/2008,2008-06-09,17000.0,17352.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Flood - 01/10/2008,2008-10-01,32000.0,31500.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Flood - 23/04/2008,2008-04-23,34000.0,34000.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Flood - 30/01/2008,2008-01-30,40000.0,40000.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2008,Indonesia: Flood - 02/01/2008,2008-01-02,50000.0,49653.0,Weather related,Flood,Conflict-Violence,,,,,
IND,India,2008,India: Landslide/Wet mass movement - 02/08/2008,2008-08-02,1500.0,1500.0,Weather related,Mass Movement,Conflict-Violence,,,,,
IND,India,2008,India: Flood - 07/05/2008,2008-05-07,2800.0,2800.0,Weather related,Flood,Conflict-Violence,,,,,
IND,India,2008,India: Flood - 27/11/2008,2008-11-27,102000.0,101940.0,Weather related,Flood,Conflict-Violence,,,,,
IND,India,2008,India: Flood - 06/11/2008,2008-11-06,2056000.0,2055925.0,Weather related,Flood,Conflict-Violence,,,,,
IND,India,2008,India: Flood - 30/08/2008,2008-08-30,2100000.0,2100000.0,Weather related,Flood,Conflict-Violence,,,,,
IND,India,2008,India: Flood - 14/09/2008,2008-09-14,2400000.0,2400000.0,Weather related,Flood,Conflict-Violence,,,,,
IRQ,Iraq,2008,Iraq: Flood - 09/10/2008,2008-10-09,600.0,600.0,Weather related,Flood,Conflict-Violence,,,,,
JAM,Jamaica,2008,Jamaica: Storm - 28/08/2008,2008-08-28,1500.0,1520.0,Weather related,Storm,Conflict-Violence,,,,,
JPN,Japan,2008,Japan: Flood - 28/07/2008,2008-07-28,800.0,800.0,Weather related,Flood,Conflict-Violence,,,,,
KEN,Kenya,2008,Kenya: Flood - 17/03/2008,2008-03-17,100.0,100.0,Weather related,Flood,Conflict-Violence,,,,,
KEN,Kenya,2008,Kenya: Flood - 11/10/2008,2008-10-11,10000.0,10000.0,Weather related,Flood,Conflict-Violence,,,,,
KGZ,Kyrgyz Republic,2008,Kyrgyzstan: Earthquake - 10/05/2008,2008-05-10,1100.0,1055.0,Geophysical,Earthquake,Conflict-Violence,,,,,
KIR,Kiribati,2008,Kiribati: Flood - 12/09/2008,2008-09-12,85.0,85.0,Weather related,Flood,Conflict-Violence,,,,,
LBR,Liberia,2008,Liberia: Flood - 01/07/2008,2008-07-01,1000.0,1000.0,Weather related,Flood,Conflict-Violence,,,,,
LKA,Sri Lanka,2008,Sri Lanka: Flood - 03/12/2008,2008-12-03,7000.0,7000.0,Weather related,Flood,Conflict-Violence,,,,,
LKA,Sri Lanka,2008,Sri Lanka: Storm - 27/04/2008,2008-04-27,33000.0,33408.0,Weather related,Storm,Conflict-Violence,,,,,
LKA,Sri Lanka,2008,Sri Lanka: Flood - 22/11/2008,2008-11-22,85000.0,85000.0,Weather related,Flood,Conflict-Violence,,,,,
LKA,Sri Lanka,2008,Sri Lanka: Flood - 29/05/2008,2008-05-29,400000.0,400000.0,Weather related,Flood,Conflict-Violence,,,,,
MAR,Morocco,2008,Morocco: Flood - 23/10/2008,2008-10-23,5000.0,5000.0,Weather related,Flood,Conflict-Violence,,,,,
MDA,Moldova,2008,Moldova: Flood - 26/07/2008,2008-07-26,200.0,200.0,Weather related,Flood,Conflict-Violence,,,,,
MDG,Madagascar,2008,Madagascar: Storm - 27/01/2008,2008-01-27,3200.0,3156.0,Weather related,Storm,Conflict-Violence,,,,,
MDG,Madagascar,2008,Madagascar: Storm - 17/02/2008,2008-02-17,191000.0,191182.0,Weather related,Storm,Conflict-Violence,,,,,
MEX,Mexico,2008,Mexico: Storm - 20/07/2008,2008-07-20,13000.0,13100.0,Weather related,Storm,Conflict-Violence,,,,,
MHL,Marshall Islands,2008,Marshall Islands: Flood - 12/10/2008,2008-10-12,600.0,600.0,Weather related,Flood,Conflict-Violence,,,,,
MLI,Mali,2008,Mali: Flood - 18/08/2008,2008-08-18,2500.0,2500.0,Weather related,Flood,Conflict-Violence,,,,,
MMR,Myanmar,2008,Myanmar: Storm - 05/02/2008,2008-02-05,2250000.0,2250000.0,Weather related,Storm,Conflict-Violence,,,,,
MOZ,Mozambique,2008,Mozambique: Wildfire - 09/01/2008,2008-01-09,3000.0,3000.0,Weather related,Wildfire,Conflict-Violence,,,,,
MOZ,Mozambique,2008,Mozambique: Storm - 03/08/2008,2008-08-03,55000.0,55000.0,Weather related,Storm,Conflict-Violence,,,,,
MOZ,Mozambique,2008,Mozambique: Flood - 28/08/2008,2008-08-28,85000.0,85000.0,Weather related,Flood,Conflict-Violence,,,,,
MYS,Malaysia,2008,Malaysia: Dry mass movement - 06/12/2008,2008-12-06,4000.0,4000.0,Geophysical,Mass Movement,Conflict-Violence,,,,,
NER,Niger,2008,Niger: Flood - 01/07/2008,2008-07-01,4300.0,4300.0,Weather related,Flood,Conflict-Violence,,,,,
NIC,Nicaragua,2008,Nicaragua: Storm - 29/05/2008,2008-05-29,1400.0,1390.0,Weather related,Storm,Conflict-Violence,,,,,
NIC,Nicaragua,2008,Nicaragua: Flood - 26/11/2008,2008-11-26,1500.0,1500.0,Weather related,Flood,Conflict-Violence,,,,,
NIC,Nicaragua,2008,Nicaragua: Flood - 24/09/2008,2008-09-24,3000.0,3000.0,Weather related,Flood,Conflict-Violence,,,,,
NIC,Nicaragua,2008,Nicaragua: Flood - 18/10/2008,2008-10-18,13000.0,13000.0,Weather related,Flood,Conflict-Violence,,,,,
NPL,Nepal,2008,Nepal: Flood - 01/07/2008,2008-07-01,70000.0,70000.0,Weather related,Flood,Conflict-Violence,,,,,
NPL,Nepal,2008,Nepal: Flood - 22/09/2008,2008-09-22,180000.0,180000.0,Weather related,Flood,Conflict-Violence,,,,,
PAK,Pakistan,2008,Pakistan: Flood - 08/09/2008,2008-09-08,200.0,200.0,Weather related,Flood,Conflict-Violence,,,,,
PAK,Pakistan,2008,Pakistan: Earthquake - 29/10/2008,2008-10-29,7000.0,7000.0,Geophysical,Earthquake,Conflict-Violence,,,,,
PAK,Pakistan,2008,Pakistan: Flood - 08/02/2008,2008-02-08,82000.0,82000.0,Weather related,Flood,Conflict-Violence,,,,,
PER,Peru,2008,Peru: Flood - 02/04/2008,2008-04-02,45000.0,45000.0,Weather related,Flood,Conflict-Violence,,,,,
PHL,Philippines,2008,Philippines: Storm - 28/07/2008,2008-07-28,440.0,444.0,Weather related,Storm,Conflict-Violence,,,,,
PHL,Philippines,2008,Philippines: Storm - 11/06/2008,2008-06-11,1200.0,1185.0,Weather related,Storm,Conflict-Violence,,,,,
PHL,Philippines,2008,Philippines: Storm - 18/07/2008,2008-07-18,3100.0,3080.0,Weather related,Storm,Conflict-Violence,,,,,
PHL,Philippines,2008,Philippines: Storm - 22/08/2008,2008-08-22,3500.0,3530.0,Weather related,Storm,Conflict-Violence,,,,,
PHL,Philippines,2008,Philippines: Storm - 22/09/2008,2008-09-22,5200.0,5215.0,Weather related,Storm,Conflict-Violence,,,,,
PHL,Philippines,2008,Philippines: Landslide/Wet mass movement - 09/06/2008,2008-06-09,12000.0,12124.0,Weather related,Mass Movement,Conflict-Violence,,,,,
PHL,Philippines,2008,Philippines: Flood - 21/11/2008,2008-11-21,30000.0,30000.0,Weather related,Flood,Conflict-Violence,,,,,
PHL,Philippines,2008,Philippines: Flood - 12/01/2008,2008-01-12,51000.0,51222.0,Weather related,Flood,Conflict-Violence,,,,,
PHL,Philippines,2008,Philippines: Storm - 18/05/2008,2008-05-18,55000.0,54705.0,Weather related,Storm,Conflict-Violence,,,,,
PHL,Philippines,2008,Philippines: Flood - 02/12/2008,2008-12-02,206000.0,205974.0,Weather related,Flood,Conflict-Violence,,,,,
PHL,Philippines,2008,Philippines: Flood - 09/04/2008,2008-04-09,350000.0,350000.0,Weather related,Flood,Conflict-Violence,,,,,
PHL,Philippines,2008,Philippines: Storm - 01/01/2008,2008-01-01,2039000.0,2039155.0,Weather related,Storm,Conflict-Violence,,,,,
PNG,Papua New Guinea,2008,Papua New Guinea: Flood - 12/08/2008,2008-08-12,75000.0,75000.0,Weather related,Flood,Conflict-Violence,,,,,
PRT,Portugal,2008,Portugal: Flood - 18/02/2008,2008-02-18,38.0,38.0,Weather related,Flood,Conflict-Violence,,,,,
PRY,Paraguay,2008,Paraguay: Storm - 08/07/2008,2008-07-08,60.0,60.0,Weather related,Storm,Conflict-Violence,,,,,
ROU,Romania,2008,Romania: Flood - 01/08/2008,2008-08-01,11000.0,10520.0,Weather related,Flood,Conflict-Violence,,,,,
RWA,Rwanda,2008,Rwanda: Flood - 10/01/2008,2008-01-10,5000.0,5000.0,Weather related,Flood,Conflict-Violence,,,,,
SDN,Sudan,2008,Sudan: Flood - 24/11/2008,2008-11-24,7500.0,7500.0,Weather related,Flood,Conflict-Violence,,,,,
SDN,Sudan,2008,Sudan: Flood - 01/08/2008,2008-08-01,39000.0,39000.0,Weather related,Flood,Conflict-Violence,,,,,
SLV,El Salvador,2008,El Salvador: Flood - 16/10/2008,2008-10-16,95.0,95.0,Weather related,Flood,Conflict-Violence,,,,,
SOM,Somalia,2008,Somalia: Flood - 11/03/2008,2008-03-11,12000.0,12000.0,Weather related,Flood,Conflict-Violence,,,,,
TCD,Chad,2008,Chad: Flood - 20/07/2008,2008-07-20,10000.0,10000.0,Weather related,Flood,Conflict-Violence,,,,,
TGO,Togo,2008,Togo: Flood - 07/01/2008,2008-01-07,2000.0,2000.0,Weather related,Flood,Conflict-Violence,,,,,
THA,Thailand,2008,Thailand: Storm - 05/02/2008,2008-02-05,1000.0,1000.0,Weather related,Storm,Conflict-Violence,,,,,
THA,Thailand,2008,Thailand: Flood - 09/11/2008,2008-11-09,1700.0,1680.0,Weather related,Flood,Conflict-Violence,,,,,
THA,Thailand,2008,Thailand: Flood - 20/11/2008,2008-11-20,200000.0,200000.0,Weather related,Flood,Conflict-Violence,,,,,
TUR,Türkiye,2008,Türkiye: Wildfire - 08/01/2008,2008-01-08,300.0,300.0,Weather related,Wildfire,Conflict-Violence,,,,,
TZA,Tanzania,2008,Tanzania: Flood - 01/10/2008,2008-10-01,440.0,442.0,Weather related,Flood,Conflict-Violence,,,,,
TZA,Tanzania,2008,Tanzania: Flood - 17/03/2008,2008-03-17,2000.0,2000.0,Weather related,Flood,Conflict-Violence,,,,,
UGA,Uganda,2008,Uganda: Flood - 17/11/2008,2008-11-17,15000.0,15000.0,Weather related,Flood,Conflict-Violence,,,,,
UKR,Ukraine,2008,Ukraine: Flood - 26/07/2008,2008-07-26,25000.0,25000.0,Weather related,Flood,Conflict-Violence,,,,,
USA,United States,2008,United States: Wildfire - 20/06/2008,2008-06-20,300.0,300.0,Weather related,Wildfire,Conflict-Violence,,,,,
USA,United States,2008,United States: Flood - 26/12/2008,2008-12-26,470.0,473.0,Weather related,Flood,Conflict-Violence,,,,,
USA,United States,2008,United States: Flood - 01/06/2008,2008-06-01,11000.0,11000.0,Weather related,Flood,Conflict-Violence,,,,,
USA,United States,2008,United States: Storm - 09/12/2008,2008-12-09,20000.0,20000.0,Weather related,Storm,Conflict-Violence,,,,,
USA,United States,2008,United States: Storm - 01/04/2008,2008-04-01,38000.0,38000.0,Weather related,Storm,Conflict-Violence,,,,,
USA,United States,2008,United States: Wildfire - 13/11/2008,2008-11-13,50000.0,50000.0,Weather related,Wildfire,Conflict-Violence,,,,,
USA,United States,2008,United States: Storm - 09/01/2008,2008-01-09,1900000.0,1900000.0,Weather related,Storm,Conflict-Violence,,,,,
VEN,"Venezuela, RB",2008,Venezuela: Flood - 20/11/2008,2008-11-20,4700.0,4695.0,Weather related,Flood,Conflict-Violence,,,,,
VNM,Vietnam,2008,Viet Nam: Storm - 17/11/2008,2008-11-17,240.0,235.0,Weather related,Storm,Conflict-Violence,,,,,
VNM,Vietnam,2008,Viet Nam: Storm - 30/09/2008,2008-09-30,820.0,820.0,Weather related,Storm,Conflict-Violence,,,,,
VNM,Vietnam,2008,Viet Nam: Flood - 19/10/2008,2008-10-19,840.0,840.0,Weather related,Flood,Conflict-Violence,,,,,
VNM,Vietnam,2008,Viet Nam: Flood - 27/10/2008,2008-10-27,2000.0,2000.0,Weather related,Flood,Conflict-Violence,,,,,
VNM,Vietnam,2008,Viet Nam: Storm - 25/09/2008,2008-09-25,6700.0,6695.0,Weather related,Storm,Conflict-Violence,,,,,
VNM,Vietnam,2008,Viet Nam: Storm - 08/08/2008,2008-08-08,95000.0,95000.0,Weather related,Storm,Conflict-Violence,,,,,
YEM,"Yemen, Rep.",2008,Yemen: Flood - 23/10/2008,2008-10-23,22000.0,22000.0,Weather related,Flood,Conflict-Violence,,,,,
ZAF,South Africa,2008,South Africa: Storm - 14/11/2008,2008-11-14,3500.0,3500.0,Weather related,Storm,Conflict-Violence,,,,,
ZMB,Zambia,2008,Zambia: Flood - 02/09/2008,2008-09-02,5800.0,5796.0,Weather related,Flood,Conflict-Violence,,,,,
AFG,Afghanistan,2009,Afghanistan: Earthquake - 01/01/2009,2009-01-01,3200.0,3250.0,Geophysical,Earthquake,Conflict-Violence,,,,,
AFG,Afghanistan,2009,Afghanistan: Flood - 01/01/2009,2009-01-01,25000.0,25185.0,Weather related,Flood,Conflict-Violence,,,,,
AGO,Angola,2009,Angola: Flood - 01/01/2009,2009-01-01,420.0,415.0,Weather related,Flood,Conflict-Violence,,,,,
AGO,Angola,2009,Angola: Flood - 01/01/2009,2009-01-01,4600.0,4650.0,Weather related,Flood,Conflict-Violence,,,,,
AGO,Angola,2009,Angola: Flood - 01/01/2009,2009-01-01,81000.0,81000.0,Weather related,Flood,Conflict-Violence,,,,,
ALB,Albania,2009,Albania: Earthquake - 01/01/2009,2009-01-01,150.0,150.0,Geophysical,Earthquake,Conflict-Violence,,,,,
AUS,Australia,2009,Australia: Wildfire - 01/01/2009,2009-01-01,7500.0,7500.0,Weather related,Wildfire,Conflict-Violence,,,,,
AZE,Azerbaijan,2009,Azerbaijan: Flood - 01/01/2009,2009-01-01,200.0,200.0,Weather related,Flood,Conflict-Violence,,,,,
BEN,Benin,2009,Benin: Flood - 01/01/2009,2009-01-01,20000.0,20000.0,Weather related,Flood,Conflict-Violence,,,,,
