ISO3,Country / Territory,Year,Event Name,Date of Event (start),Disaster Internal Displacements,Disaster Internal Displacements (Raw),Hazard Category,Hazard Type,Hazard Sub Type,Name,Conflict Stock Displacement,Conflict Stock Displacement (Raw),Conflict Internal Displacements,Conflict Internal Displacements (Raw)
PHL,Philippines,2021,"China, Hong Kong, Macau, Philippines, Taiwan, Viet Nam: Tropical Cyclone Kompasu (locally known as Maring) - Fujian (CHN), countrywide (HKG), countrywide (MAC), 7 Regions (PHL), Yilan and Hualien (TWN), Yen Bai (VNM) - 10/10/2021",2021-10-10,421000.0,421418.0,Weather related,Storm,Conflict-Violence,,,,,
TWN,"Taiwan, China",2021,"China, Hong Kong, Macau, Philippines, Taiwan, Viet Nam: Tropical Cyclone Kompasu (locally known as Maring) - Fujian (CHN), countrywide (HKG), countrywide (MAC), 7 Regions (PHL), Yilan and Hualien (TWN), Yen Bai (VNM) - 10/10/2021",2021-10-10,1600.0,1608.0,Weather related,Storm,Conflict-Violence,,,,,
VNM,Vietnam,2021,"China, Hong Kong, Macau, Philippines, Taiwan, Viet Nam: Tropical Cyclone Kompasu (locally known as Maring) - Fujian (CHN), countrywide (HKG), countrywide (MAC), 7 Regions (PHL), Yilan and Hualien (TWN), Yen Bai (VNM) - 10/10/2021",2021-10-10,79.0,79.0,Weather related,Storm,Conflict-Violence,,,,,
PHL,Philippines,2021,Philippines: Flash flood - South Cotabato (Lake Sebu) - 16/06/2021,2021-06-16,280.0,280.0,Weather related,Flood,Conflict-Violence,,,,,
RUS,Russian Federation,2021,Russia: Floods - Amur Region - June 2021,2021-06-22,2700.0,2740.0,Weather related,Flood,Conflict-Violence,,,,,
NCL,New Caledonia,2021,New Caledonia: Niran Cyclone - countrywide - 05/03/2021,2021-03-05,5000.0,5000.0,Weather related,Storm,Conflict-Violence,,,,,
PNG,Papua New Guinea,2021,"Papua New Guinea: Floods - Southern Highland Province (Ialibu Pangia District, Tiri Village) - 15/03/2021",2021-03-15,50.0,50.0,Weather related,Flood,Conflict-Violence,,,,,
NZL,New Zealand,2021,New Zealand: West Coast (Westport) - 16/07/2021,2021-07-16,2900.0,2900.0,Weather related,Flood,Conflict-Violence,,,,,
NZL,New Zealand,2021,New Zealand: Tornado - Auckland (Papatoetoe) - 19/06/2021,2021-06-19,220.0,221.0,Weather related,Storm,Conflict-Violence,,,,,
NZL,New Zealand,2021,New Zealand: Floods - Gisborne District - 04/11/2021,2021-11-04,11.0,11.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2021,China: Earthquake - Yunnan - 21/05/2021,2021-05-21,28000.0,28000.0,Geophysical,Earthquake,Conflict-Violence,,,,,
SOM,Somalia,2021,Somalia: Flood - Lower Shabelle (Afgooye) - 03/02/2021,2021-02-03,33.0,33.0,Weather related,Flood,Conflict-Violence,,,,,
SOM,Somalia,2021,Somalia: Flood - Banadir (Wadajiir) - 12/07/2021,2021-07-12,110.0,111.0,Weather related,Flood,Conflict-Violence,,,,,
SOM,Somalia,2021,"Somalia: Flood - Banadir (Wadajiir, Xamar Jabjab), Middle Shabelle (Jowhar) - 04/08/2021",2021-08-04,2100.0,2145.0,Weather related,Flood,Conflict-Violence,,,,,
SOM,Somalia,2021,Somalia: Flood - Banadir (Xamar Jabjab) - 13/09/2021,2021-09-13,110.0,108.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Volcanic eruption - East Java - 01/01/2021,2021-01-01,11000.0,10565.0,Geophysical,Volcanic activity,Conflict-Violence,,,,,
BRA,Brazil,2021,Brazil: Flood - Countrywide - 2021,2021-01-01,181000.0,181422.0,Weather related,Flood,Conflict-Violence,,,,,
MMR,Myanmar,2021,Myanmar: Flooding [monsoon] - Kayin State - 20/07/2021,2021-07-20,59000.0,59008.0,Weather related,Flood,Conflict-Violence,,,,,
MMR,Myanmar,2021,Myanmar: Flooding [monsoon] - Mon State - 20/07/2021,2021-07-20,50000.0,49797.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Storm - West Nusa Tenggara - 01/01/2021,2021-01-01,50.0,50.0,Weather related,Storm,Conflict-Violence,,,,,
MMR,Myanmar,2021,Myanmar: Flooding [monsoon] - Bago Region - 20/07/2021,2021-07-20,2500.0,2517.0,Weather related,Flood,Conflict-Violence,,,,,
RWA,Rwanda,2021,Rwanda: Heavy Rains & Strong Winds - Southern Province - October 2021,2021-10-01,800.0,803.0,Weather related,Storm,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - Maluku - 01/01/2021,2021-01-01,1200.0,1185.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Tidal Wave - North Sulawesi - 01/01/2021,2021-01-01,180.0,175.0,Weather related,Wave action,Conflict-Violence,,,,,
GTM,Guatemala,2021,Guatemala: Cold Wave - Countrywide - 2021,2021-01-01,84.0,84.0,Weather related,Extreme Temperature,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Tidal Wave - Riau - 01/01/2021,2021-01-01,150.0,150.0,Weather related,Wave action,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Tidal Wave - Papua - 01/01/2021,2021-01-01,190.0,190.0,Weather related,Wave action,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - North Maluku - 01/01/2021,2021-01-01,3700.0,3744.0,Weather related,Flood,Conflict-Violence,,,,,
YEM,"Yemen, Rep.",2021,Yemen: Rain Season Floods - Countrywide - 01/02/2021,2021-01-01,84000.0,84378.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - North Sumatra - 01/01/2021,2021-01-01,15000.0,15350.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Earthquake - Central Sulawesi - 01/01/2021,2021-01-01,1000.0,1050.0,Geophysical,Earthquake,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Storm - North Sumatra - 01/01/2021,2021-01-01,1.0,1.0,Weather related,Storm,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Wildfire - West Kalimantan - 01/01/2021,2021-01-01,1.0,1.0,Weather related,Wildfire,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - Banten - 01/01/2021,2021-01-01,8300.0,8252.0,Weather related,Flood,Conflict-Violence,,,,,
BRA,Brazil,2021,Brazil: Drought - Countrywide - 2021,2021-01-01,1200.0,1228.0,Weather related,Drought,Conflict-Violence,,,,,
BRA,Brazil,2021,Brazil: Dry Mass Movement - Countrywide - 2021,2021-01-01,35000.0,34705.0,Geophysical,Mass Movement,Conflict-Violence,,,,,
GTM,Guatemala,2021,Guatemala: Earthquake - Countrywide - 2021,2021-01-01,210.0,207.0,Geophysical,Earthquake,Conflict-Violence,,,,,
LBY,Libya,2021,"Libya: Floods - Marj (Al Abyar, Jards Al-Abid), Tripoli (Assahel) - 01/11/2021",2021-11-01,1200.0,1234.0,Weather related,Flood,Conflict-Violence,,,,,
IDN,Indonesia,2021,Indonesia: Flood - South Sumatra - 01/01/2021,2021-01-01,360.0,355.0,Weather related,Flood,Conflict-Violence,,,,,
BRA,Brazil,2021,Brazil: Extreme Temperature - Countrywide - 2021,2021-01-01,1400.0,1422.0,Weather related,Extreme Temperature,Conflict-Violence,,,,,
BRA,Brazil,2021,Brazil: Storm - Countrywide - 2021,2021-01-01,230000.0,229506.0,Weather related,Storm,Conflict-Violence,,,,,
BRA,Brazil,2021,Brazil: Wet Mass movement - Countrywide - 2021,2021-01-01,540.0,540.0,Weather related,Mass Movement,Conflict-Violence,,,,,
BRA,Brazil,2021,Brazil: Wildfire - Countrywide - 2021,2021-01-01,77.0,77.0,Weather related,Wildfire,Conflict-Violence,,,,,
